name,breed,color,dad_weight,available,dob,gender,mom_weight,price,puppy_id,registry,bio,age_in_weeks
Sampson,German Shepherd,Sable,110,I'm ready today!,8-Nov-16,Male,75,3075,490027,AKC,Sampson has manners. He has learned how to sit and lay down. He is very playful and loving. You just can’t help but want to play with him when you see him. Sampson loves to go on adventures and hopes you’ll join him on them. This boy is half Czech half DDR East German and comes from some impressive champion European bloodlines. Don’t miss out on making Sampson part of your family.  He has unusual markings and has show potential!,21
Sam,American Bulldog,White,100,I'm ready today!,27-Oct-16,Male,90,2395,490127,ABRA,"Sam is the one you have been looking for! He's perfect in every way! He is outgoing, playful, loving, and charming. He will be the talk of the town. Just look into those eyes and tell me you don’t agree. He is always so sweet and wants to please. Sam will be sure to come to his new home happy, healthy, and ready to fill your home with his puppy love. He will be up to date on his puppy vaccinations and vet checks just in time to come home to you. What are you waiting for? You have found the perfect prince charming right here.",22
Cristy,American Bulldog,White,100,I'm ready today!,27-Oct-16,Female,90,2395,490270,ABRA,"“Look at me! I am probably the cutest little puppy you ever did see. Everyone that sees me always tells me how beautiful I am, and they can’t help but shower me with love, hugs, and kisses. I’m hoping that one day you’ll be able to do the same. I love to play and I can even take a nap with you. Pick me! I’m ready to share my love. I am current on all of my vaccinations and vet checked from nose to tail, so when I go to my new home, I will be as healthy as can be.”",22
Tank,American Bulldog,White,100,I'm ready today!,27-Oct-16,Male,90,2395,490271,ABRA,"“Hi, I'm Tank and I will do everything I can to make you happy. I will fill your life with love and kisses. Imagine all the cool things we can do together! We can take nice walks in the park, go shopping around town, take a swim on those hot summer days, and so much more! When we're done, we’ll cuddle together. I will arrive up to date on vaccinations and vet checked from head to tail. I can't wait to meet you! See you soon!”",22
Blaze,Goldendoodle,White & Biscuit,60,I'm ready today!,27-Nov-16,Male,80,2395,490295,Not registered,"Blaze is such a cutie! He is very smart and loves to play! He is super social and sweet! He is average in size, but is ahead of the litter in everything! He was the first to walk, first to be paper trained, and is always ready to interact! He loves to be wherever his family is! He is a very light biscuit white color, but will most likely be all white when fully grown. He has straight, soft hair, but we expect it to be white and slightly curly when he is full grown, as are his parents. His parents are both F1's, half standard Poodle and half Golden Retriever. Blaze is adorable and will be a great addition to any family!",18
Rock,Poodle,Cafe Au Lait,10,I'm ready today!,8-Oct-16,Male,12,2150,490381,APRI,"Rock is the strongest and largest of the litter, but he's also  the quintessential gentle giant! Rock is a sweet, lovable big hunk of fluff and he's already started potty training! He loves to eat and play. He is a sucker for belly rubs! Poodles are smart, and don't shed! Rock is well socialized and will steal your heart with one look. He has a calm and stable personality, and he would be a great new friend for the family.",25
Hershey,Poodle,Cafe Au Lait,10,I'm ready today!,8-Oct-16,Male,12,2150,490383,APRI,"Get ready for Hershey kisses! He is a dapper and handsome guy who is full of love and puppy kisses! Hershey is sweet; he loves belly rubs, and running behind his big brothers. Poodles rule! hey are smart, sweet, and non shedding; great for people with allergies! When you hold him, you will never want to let go, he's so soft and fluffy! He's started potty training already! He loves to snuggle and play, so you’ll be set with this pup! Whether playing all day or relaxing on the couch, Hershey promises to be your most loving companion. Hershey will arrive to his new home up to date on vaccinations, pre-spoiled and ready to love you one Hershey's kiss at a time! Don't miss out!",25
Beauty,Poodle,Cafe Au Lait,10,I'm ready today!,8-Oct-16,Female,12,2150,490384,APRI,"Beauty is beautiful, sweet, and playful! Beauty is full of fluff and likes to hide and play with her siblings or sit around and watch you do what you do! Beauty is already being potty trained and loves to learn! She is affectionate and charming while also being feisty when necessary. Beauty loves her naps and belly rubs! Whether it be running around in the yard or out for a stroll, this girl will enjoy hours of fun as long as she gets to be by your side. Poodles are the best! They are smart and non shedding! Beauty will be vet checked and up to date on her vaccinations. Hurry and call about her now. She can't wait to meet you!",25
Miranda,Dalmatian,White & Black,50,I'm ready today!,23-Nov-16,Female,40,2050,490413,AKC,"Miranda is perfect and very lovable. She loves chewing on things and running with her brothers and sisters.You just can’t help but want to play with her when you see her. Miranda loves to go on adventures and hopes you’ll join her on them. Whether chasing the butterflies in the yard, or finding the cookie under the sofa, this impressive girl will have you laughing and loving her in no time.  She is begging you to pick her for your next pet.",18
Casey,Boxer,Brindle,50,I'm ready today!,19-Nov-16,Male,45,2725,490534,AKC,"""Hey, I'm Casey! Though I am young, I love life! I am learning to eat on my own, anything is good! They say my pretty coat looks like tiger stripes sometimes! Playing with my brothers and sisters is the best! I also like cuddling with my people and playing outside. I am up to date on my vaccinations, so I am good and healthy. I am learning to go potty outside and rarely have accidents! I can walk on a leash, though I would rather follow you around everywhere! And I love to run around and climb on things or jump off! Nothing much scares me. My dream is to be a star agility dog some day. Pick me! I promise you won’t regret it. I will love you, kiss you, and teach you to play so be sure to pick me and choose me today!”",19
