
Sampson,21 weeks old,German Shepherd,Sable,110 - 120 lbs,I'm ready today!,"November 8, 2016",Male,75 - 80 lbs,"$3,075",490027,AKC,Sampson has manners. He has learned how to sit and lay down. He is very playful and loving. You just can’t help but want to play with him when you see him. Sampson loves to go on adventures and hopes you’ll join him on them. This boy is half Czech half DDR East German and comes from some impressive champion European bloodlines. Don’t miss out on making Sampson part of your family.  He has unusual markings and has show potential!
Sam,22 weeks old,American Bulldog,White,100 - 110 lbs,I'm ready today!,"October 27, 2016",Male,90 - 95 lbs,"$2,395",490127,ABRA,"Sam is the one you have been looking for! He's perfect in every way! He is outgoing, playful, loving, and charming. He will be the talk of the town. Just look into those eyes and tell me you don’t agree. He is always so sweet and wants to please. Sam will be sure to come to his new home happy, healthy, and ready to fill your home with his puppy love. He will be up to date on his puppy vaccinations and vet checks just in time to come home to you. What are you waiting for? You have found the perfect prince charming right here."
Cristy,22 weeks old,American Bulldog,White,100 - 110 lbs,I'm ready today!,"October 27, 2016",Female,90 - 95 lbs,"$2,395",490270,ABRA,"“Look at me! I am probably the cutest little puppy you ever did see. Everyone that sees me always tells me how beautiful I am, and they can’t help but shower me with love, hugs, and kisses. I’m hoping that one day you’ll be able to do the same. I love to play and I can even take a nap with you. Pick me! I’m ready to share my love. I am current on all of my vaccinations and vet checked from nose to tail, so when I go to my new home, I will be as healthy as can be.”"
Tank,22 weeks old,American Bulldog,White,100 - 110 lbs,I'm ready today!,"October 27, 2016",Male,90 - 95 lbs,"$2,395",490271,ABRA,"“Hi, I'm Tank and I will do everything I can to make you happy. I will fill your life with love and kisses. Imagine all the cool things we can do together! We can take nice walks in the park, go shopping around town, take a swim on those hot summer days, and so much more! When we're done, we’ll cuddle together. I will arrive up to date on vaccinations and vet checked from head to tail. I can't wait to meet you! See you soon!”"
Shiny,17 weeks old,German Shepherd,Bi-Color,95 - 100 lbs,I'm ready today!,"December 5, 2016",Female,85 - 90 lbs,"$2,450",490294,"Meet Shiny! She's a spunky little girl that knows how to keep you on your feet. She loves anything stuffed and her head tilts whenever she hears a squeak. This little girl will be sure to amuse you with a lifetime of memories. She loves going on walks and playing outside. Night time is the best time however, when she snuggles up to you and puts her head on your shoulder, it's just priceless. She will come to her new home up to date on her vaccinations. She comes from pure Czech Republic bloodlines. Shiny is truly one of a kind, so hurry and pick her! She will be sure to shine and make every day for you happy a one."
Blaze,18 weeks old,Goldendoodle,White & Biscuit,60 - 65 lbs,I'm ready today!,"November 27, 2016",Male,80 - 85 lbs,"$2,395",490295,Not registered,"Blaze is such a cutie! He is very smart and loves to play! He is super social and sweet! He is average in size, but is ahead of the litter in everything! He was the first to walk, first to be paper trained, and is always ready to interact! He loves to be wherever his family is! He is a very light biscuit white color, but will most likely be all white when fully grown. He has straight, soft hair, but we expect it to be white and slightly curly when he is full grown, as are his parents. His parents are both F1's, half standard Poodle and half Golden Retriever. Blaze is adorable and will be a great addition to any family!"
Andrew,19 weeks old,Poodle,Black & White,55 - 60 lbs,I'm ready today!,"November 19, 2016",Male,40 - 45 lbs,"$1,950",490360,"Andrew is a well-marked parti boy. His color is a perfect 50/50 giving him a beautiful, elegant pattern. He is one flashy boy. His parents have fabulous temperaments and are family dogs, and he is showing the same traits. He is very sweet, laid back, and has an all round great demeanor. He will make a perfect family pet, what more could you ask for? Beauty, grace, and intelligence all in one bundle, and a bonus, this puppy is non-shedding. Wow, best package I could think of. Don't miss out on making Andrew a new addition to your family."
Rock,25 weeks old,Poodle,Cafe Au Lait,10 - 12 lbs,I'm ready today!,"October 8, 2016",Male,12 - 14 lbs,"$2,150",490381,APRI,"Rock is the strongest and largest of the litter, but he's also  the quintessential gentle giant! Rock is a sweet, lovable big hunk of fluff and he's already started potty training! He loves to eat and play. He is a sucker for belly rubs! Poodles are smart, and don't shed! Rock is well socialized and will steal your heart with one look. He has a calm and stable personality, and he would be a great new friend for the family."
Hershey,25 weeks old,Poodle,Cafe Au Lait,10 - 12 lbs,I'm ready today!,"October 8, 2016",Male,12 - 14 lbs,"$2,150",490383,APRI,"Get ready for Hershey kisses! He is a dapper and handsome guy who is full of love and puppy kisses! Hershey is sweet; he loves belly rubs, and running behind his big brothers. Poodles rule! hey are smart, sweet, and non shedding; great for people with allergies! When you hold him, you will never want to let go, he's so soft and fluffy! He's started potty training already! He loves to snuggle and play, so you’ll be set with this pup! Whether playing all day or relaxing on the couch, Hershey promises to be your most loving companion. Hershey will arrive to his new home up to date on vaccinations, pre-spoiled and ready to love you one Hershey's kiss at a time! Don't miss out!"
Beauty,25 weeks old,Poodle,Cafe Au Lait,10 - 12 lbs,I'm ready today!,"October 8, 2016",Female,12 - 14 lbs,"$2,150",490384,APRI,"Beauty is beautiful, sweet, and playful! Beauty is full of fluff and likes to hide and play with her siblings or sit around and watch you do what you do! Beauty is already being potty trained and loves to learn! She is affectionate and charming while also being feisty when necessary. Beauty loves her naps and belly rubs! Whether it be running around in the yard or out for a stroll, this girl will enjoy hours of fun as long as she gets to be by your side. Poodles are the best! They are smart and non shedding! Beauty will be vet checked and up to date on her vaccinations. Hurry and call about her now. She can't wait to meet you!"
